Time,Calculation Time,Reference Velocity,Measured Velocity,Phi,Delta,Phi Dot,Control Input,Velocity Control Input,phi_roll_comp,phi_uncomp,phi_dot,a_x,ay_roll_comp,ay,az
26.52815318107605,0.011291027069091797,3,3.0051367051850395,-0.023198317760941882,-0.028812083976165852,0.0,-0.3241816698898944,0.0,0.0,-0.0,0.0,0.05,0.0,0.0,1.0
26.566665410995483,0.009605169296264648,3,3.0051367051850395,-0.023041963491726967,-0.028812083976165852,0.0,-0.3207272981975149,0.0,0.0001,0.0001,0.0,0.05,0.01,0.01,1.0
26.608866214752197,0.01162099838256836,3,3.0051367051850395,-0.02273788665687954,-0.028812083976165852,-0.0,-0.3140092570728332,0.0,0.0,0.0,-0.0,0.06,0.02,0.02,1.0
26.647582292556763,0.010087013244628906,3,3.0730028179906004,-0.02290403311833743,-0.028812083976165852,-0.0,-0.30818921338824334,0.0,0.0001,0.0,-0.0,0.05,-0.01,-0.01,1.0
26.689338445663452,0.011492013931274414,3,3.0730028179906004,-0.022917732017007492,-0.028812083976165852,-0.0,-0.30848811406444,0.0,-0.0,0.0,-0.0,0.05,0.0,0.01,1.0
26.729311227798462,0.011278867721557617,3,3.0730028179906004,-0.022481048477127896,-0.028812083976165852,-0.0,-0.29895997545288755,0.0,0.0001,0.0001,-0.0,0.05,0.03,0.03,1.0
26.769575357437134,0.010883092880249023,3,3.0730028179906004,-0.022651046483304727,-0.028812083976165852,0.0,-0.30266921662782853,0.0,0.0001,0.0001,0.0,0.04,-0.01,-0.02,1.0
26.81086754798889,0.011404037475585938,3,3.058507858134273,-0.022365082268117255,-0.028812083976165852,0.0,-0.29839514487197993,0.0,0.0,0.0,0.0,0.04,0.02,0.02,1.0
26.85006046295166,0.010408878326416016,3,3.058507858134273,-0.022083409431732644,-0.028812083976165852,-0.0,-0.2922331078335356,0.0,0.0,0.0,-0.0,0.05,0.02,0.02,1.0
26.88959836959839,0.009758949279785156,3,3.058507858134273,-0.022106054458180324,-0.028812083976165852,0.0,-0.2927285034616629,0.0,0.0002,0.0002,0.0,0.05,0.0,-0.0,1.0
26.931235551834106,0.01121211051940918,3,3.039088856596815,-0.021973853715517827,-0.028812083976165852,-0.0,-0.2924640966061197,0.0,0.0002,0.0002,-0.0,0.05,0.01,0.02,1.0
26.971156358718872,0.010948896408081055,3,3.039088856596815,-0.02184363638818857,-0.028812083976165852,-0.0,-0.2896052644000329,0.0,0.0001,0.0001,-0.0,0.05,0.01,0.01,1.0
27.010308504104614,0.009892940521240234,3,3.039088856596815,-0.02216520780670033,-0.028812083976165852,0.0,-0.29666514457614745,0.0,0.0002,0.0002,0.0,0.04,-0.02,-0.02,1.0
27.05120539665222,0.010605812072753906,3,3.039088856596815,-0.02188205367228786,-0.028812083976165852,-0.0,-0.2904486895517082,0.0,0.0002,0.0002,-0.0,0.05,0.02,0.02,1.0
27.089820384979248,0.009036064147949219,3,3.0452545378184444,-0.02205461270781945,-0.028812083976165852,-0.0,-0.29339768026157814,0.0,0.0002,0.0002,-0.0,0.05,-0.01,-0.0,1.0
27.13002109527588,0.00904989242553711,3,3.0452545378184444,-0.02222458404893455,-0.028812083976165852,0.0,-0.29712506689747115,0.0,0.0004,0.0003,0.0,0.05,-0.01,-0.01,1.0
27.170217990875244,0.00906991958618164,3,3.0452545378184444,-0.02164182562691055,-0.028812083976165852,0.0,-0.2843454657014352,0.0,0.0004,0.0004,0.0,0.05,0.04,0.04,1.0
27.21051001548767,0.009191036224365234,3,3.03102454009316,-0.02181471664746562,-0.028812083976165852,-0.0,-0.29006490185496553,0.0,0.0002,0.0002,-0.0,0.05,-0.01,-0.0,1.0
