Time;delta;AngRef;angVelref;Realized;Ref_diff
37.5346040726;  0.00166985555461; 1.2324e-13;  -0.019821318301167446; 0.0; -9.100000000000183e-16
37.5450530052;  0.00164155291809; 1.2233e-13;  -0.01968151692205053; -0.00283026365188; -9.09999999999993e-16
37.5552771091;  0.00164155291809; 1.2143e-13;  -0.01968319772849193; 0.0; -9.000000000000012e-16
37.5656590462;  0.00161325028157; 1.2054e-13;  -0.01954335668132056; -0.00283026365188; -8.89999999999984e-16
37.5756890774;  0.00161325028157; 1.1965e-13;  -0.019544978314976657; 0.0; -8.900000000000093e-16
37.5860610008;  0.00161325028157; 1.1877e-13;  -0.01954665125811994; 0.0; -8.799999999999922e-16
37.596145153;  0.00158494764505; 1.179e-13;  -0.019406735529523524; -0.00283026365188; -8.700000000000003e-16
37.6064710617;  0.00158494764505; 1.1703e-13;  -0.019408372320929748; 0.0; -8.700000000000003e-16
37.6168870926;  0.00161325028157; 1.1617e-13;  -0.01955156440841408; 0.00283026365188; -8.600000000000085e-16
37.6269299984;  0.00161325028157; 1.1532e-13;  -0.01955318715749362; 0.0; -8.499999999999913e-16
37.6372890472;  0.00161325028157; 1.1447e-13;  -0.019554857023606036; 0.0; -8.500000000000166e-16
37.6477949619;  0.00164155291809; 1.1363e-13;  -0.019698088271704474; 0.00283026365188; -8.399999999999868e-16
37.6580080986;  0.00164155291809; 1.1279e-13;  -0.019699770369688743; 0.0; -8.3999999999999945e-16
37.667953968;  0.00164155291809; 1.1196e-13;  -0.019699770369688743; 0.0; -8.300000000000076e-16
37.6783699989;  0.00164155291809; 1.1114e-13;  -0.019703113705278257; 0.0; -8.200000000000031e-16
37.6888730526;  0.00166985555461; 1.1032e-13;  -0.019846376247318838; 0.00283026365188; -8.199999999999904e-16
37.6987481117;  0.00166985555461; 1.0951e-13;  -0.019846376247318838; 0.0; -8.099999999999986e-16
37.7091479301;  0.00166985555461; 1.0871e-13;  -0.01984976655688611; 0.0; -8.000000000000067e-16
37.7192471027;  0.00166985555461; 1.0791e-13;  -0.01985145309227238; 0.0; -7.999999999999941e-16
37.729678154;  0.00166985555461; 1.0712e-13;  -0.019853195086413786; 0.0; -7.900000000000022e-16
37.73970294;  0.00169815819113; 1.0633e-13;  -0.019996409340665138; 0.00283026365188; -7.900000000000022e-16
37.7501780987;  0.00169815819113; 1.0555e-13;  -0.019998189686350563; 0.0; -7.799999999999977e-16
37.7604730129;  0.00169815819113; 1.0477e-13;  -0.019999905657314368; 0.0; -7.799999999999977e-16
