Time,delta,AngRef,angVelref,Realized,Ref_diff
1.212528944,0.035491506,0.019648,-0.07939993,-0.028302637,-0.000176
1.222458839,0.03520848,0.01948,-0.07939993,-0.028302637,-0.000168
1.233026981,0.034925453,0.019319,-0.07831067,-0.028302637,-0.000161
1.24314189,0.034727335,0.019166,-0.078132275,-0.019811846,-0.000153
1.253479958,0.034500914,0.019019,-0.077783203,-0.022642109,-0.000147
1.263480902,0.034331098,0.01888,-0.077675529,-0.016981582,-0.000139
1.273919821,0.034076374,0.018747,-0.07711488,-0.025472373,-0.000133
1.284305811,0.033849953,0.01862,-0.076665215,-0.022642109,-0.000127
1.294351816,0.033651835,0.0185,-0.076320323,-0.019811846,-0.00012
1.304708958,0.033340506,0.018385,-0.075385155,-0.0311329,-0.000115
1.314790964,0.033085782,0.018276,-0.07470133,-0.025472373,-0.000109
1.325150967,0.032859361,0.018171,-0.074139886,-0.022642109,-0.000105
1.335191965,0.03263294,0.018072,-0.073546642,-0.022642109,-9.90E-05
1.345799923,0.032349914,0.017977,-0.072652211,-0.028302637,-9.50E-05
1.355806828,0.03209519,0.017887,-0.072652211,-0.025472373,-9.00E-05
1.365917921,0.031897071,0.017801,-0.071353072,-0.019811846,-8.60E-05
1.376449823,0.03167065,0.017719,-0.070675031,-0.022642109,-8.20E-05
1.386342764,0.031444229,0.01764,-0.070675031,-0.022642109,-7.90E-05
1.396792889,0.031217808,0.017565,-0.069264179,-0.022642109,-7.50E-05
1.406860828,0.030991387,0.017493,-0.068532852,-0.022642109,-7.20E-05
1.417318821,0.030849874,0.017424,-0.068212389,-0.014151318,-6.90E-05
1.427256823,0.030651755,0.017358,-0.068212389,-0.019811846,-6.60E-05
1.437641859,0.030425334,0.017294,-0.066819759,-0.022642109,-6.40E-05
1.448029995,0.030255518,0.017232,-0.066321149,-0.016981582,-6.20E-05
1.4580369,0.030029097,0.017173,-0.065522747,-0.022642109,-5.90E-05
1.468432903,0.029915887,0.017115,-0.065286633,-0.011321055,-5.80E-05
1.478460789,0.029689466,0.017059,-0.064472529,-0.022642109,-5.60E-05
1.488862991,0.029406439,0.017004,-0.06337107,-0.028302637,-5.50E-05
1.498901844,0.029180018,0.01695,-0.062545835,-0.022642109,-5.40E-05
1.50928998,0.028925295,0.016898,-0.061569672,-0.025472373,-5.20E-05
1.51935482,0.028727176,0.016846,-0.060874951,-0.019811846,-5.20E-05
1.529662848,0.02855736,0.016796,-0.060312275,-0.016981582,-5.00E-05
1.539996862,0.028302637,0.016746,-0.05932377,-0.025472373,-5.00E-05
1.55012393,0.028132821,0.016696,-0.05876012,-0.016981582,-5.00E-05
1.5604918,0.027991308,0.016646,-0.058337826,-0.014151318,-5.00E-05
1.570657969,0.027821492,0.016597,-0.057767959,-0.016981582,-4.90E-05
1.580965996,0.027651676,0.016548,-0.057198267,-0.016981582,-4.90E-05
1.591525793,0.027566768,0.016499,-0.05705369,-0.008490791,-4.90E-05
1.601841927,0.027425255,0.016449,-0.056630113,-0.014151318,-5.00E-05
1.611882925,0.027312044,0.016399,-0.056630113,-0.011321055,-5.00E-05
1.62192297,0.027170531,0.016349,-0.055921759,-0.014151318,-5.00E-05
1.63239789,0.027000715,0.016298,-0.055361293,-0.016981582,-5.10E-05
1.642408848,0.026859202,0.016247,-0.054940618,-0.014151318,-5.10E-05
1.65285778,0.026717689,0.016195,-0.05452601,-0.014151318,-5.20E-05
1.662871838,0.02651957,0.016142,-0.053831621,-0.019811846,-5.30E-05
1.67343688,0.026236544,0.016088,-0.052718625,-0.028302637,-5.40E-05
1.683318853,0.026179939,0.016034,-0.052718625,-0.005660527,-5.40E-05
1.693675995,0.026010123,0.015979,-0.052192467,-0.016981582,-5.50E-05
1.704141855,0.02586861,0.015922,-0.051801037,-0.014151318,-5.70E-05
1.714034796,0.025670491,0.015865,-0.051801037,-0.019811846,-5.70E-05
1.724456787,0.025528978,0.015806,-0.050742205,-0.014151318,-5.90E-05
1.734492779,0.025415768,0.015747,-0.050500283,-0.011321055,-5.90E-05
1.744865894,0.025302557,0.015686,-0.050269153,-0.011321055,-6.10E-05
1.754998922,0.025217649,0.015624,-0.050183769,-0.008490791,-6.20E-05
1.765366793,0.025019531,0.015561,-0.049537596,-0.019811846,-6.30E-05
1.775451899,0.024934623,0.015497,-0.049461607,-0.008490791,-6.40E-05
1.785716772,0.02479311,0.015432,-0.049107883,-0.014151318,-6.50E-05
1.796131849,0.024708202,0.015366,-0.04904253,-0.008490791,-6.60E-05
1.806187868,0.024594991,0.015298,-0.048844514,-0.011321055,-6.80E-05
1.816618919,0.024425175,0.015229,-0.048369196,-0.016981582,-6.90E-05
1.826662779,0.024283662,0.015159,-0.04803916,-0.014151318,-7.00E-05
1.83701992,0.024113846,0.015088,-0.047573117,-0.016981582,-7.10E-05
1.847365856,0.024028938,0.015016,-0.047536565,-0.008490791,-7.20E-05
1.857512951,0.023774215,0.014942,-0.046659814,-0.025472373,-7.40E-05
1.867548943,0.023632701,0.014867,-0.046353653,-0.014151318,-7.50E-05
1.877810955,0.023519491,0.014792,-0.046189466,-0.011321055,-7.50E-05
1.88822484,0.023491188,0.014715,-0.046460345,-0.002830264,-7.70E-05
1.898264885,0.023434583,0.014637,-0.046593836,-0.005660527,-7.80E-05
1.908647776,0.023349675,0.014559,-0.046586704,-0.008490791,-7.80E-05
1.918709993,0.023264767,0.014479,-0.046588707,-0.008490791,-8.00E-05
1.929184914,0.023151557,0.014398,-0.046455128,-0.011321055,-8.10E-05
1.939110994,0.023066649,0.014317,-0.046455128,-0.008490791,-8.10E-05
1.949656963,0.023038346,0.014234,-0.046763124,-0.002830264,-8.30E-05
1.959845781,0.022953438,0.014151,-0.046780024,-0.008490791,-8.30E-05
1.969872952,0.02286853,0.014067,-0.04680248,-0.008490791,-8.40E-05
1.982416868,0.022727017,0.013982,-0.046552703,-0.014151318,-8.50E-05
1.990785837,0.022642109,0.013897,-0.046552703,-0.008490791,-8.50E-05
2.001035929,0.022472293,0.013811,-0.046182526,-0.016981582,-8.60E-05
2.011046886,0.022359083,0.013724,-0.046077418,-0.011321055,-8.70E-05
2.021597862,0.022302478,0.013637,-0.04625681,-0.005660527,-8.70E-05
2.031885862,0.022132662,0.013549,-0.045873688,-0.016981582,-8.80E-05
