Time,Calculation Time,Reference Velocity,Measured Velocity,Phi,Delta,Phi Dot,Control Input,Velocity Control Input,phi_roll_comp,phi_uncomp,phi_dot,a_x,ay_roll_comp,ay,az
17.310652256011963,0.009222984313964844,3,0.0,0.05887068605239832,0.569392441485761,-0.0,0.03862802971061896,0.0,0.0603,0.0603,-0.0,0.26,0.06,0.06,0.96
17.350597381591797,0.008939027786254883,3,0.0,0.05916217048375059,0.5692226256666479,0.01,0.13286569532619177,0.0,0.0611,0.061,0.01,0.27,0.05,0.04,0.96
17.39200210571289,0.008974790573120117,3,0.0,0.05905528264863257,0.5599110582519539,0.0,0.08048808958877318,0.0,0.0615,0.0614,0.0,0.28,0.05,0.05,0.96
17.432246208190918,0.009037017822265625,3,0.0,0.05926127113796196,0.5506560961102974,0.0,0.12228987027693661,0.0,0.0613,0.0612,0.0,0.27,0.07,0.07,0.96
17.472679376602173,0.009279012680053711,3,0.0,0.05961947054921915,0.5414860418781975,-0.0,0.16933078107636934,0.0,0.0611,0.0611,-0.0,0.28,0.08,0.09,0.96
17.512547254562378,0.008969783782958984,3,0.0,0.059661460640920226,0.5308442505471186,0.0,0.21028644269498264,0.0,0.0612,0.0612,0.0,0.27,0.06,0.06,0.96
17.55271005630493,0.008936882019042969,3,0.0,0.059391177417785254,0.5213911699498304,-0.0,0.2354445720625169,0.0,0.0611,0.0612,-0.0,0.27,0.04,0.05,0.96
17.592926025390625,0.008965015411376953,3,0.0,0.059353428234845095,0.5131834053593706,-0.01,0.18150046223555713,0.0,0.0604,0.0606,-0.01,0.27,0.08,0.08,0.96
17.63310194015503,0.008957862854003906,3,0.0,0.05892224528964903,0.5069002200521909,-0.02,0.10607144158868959,0.0,0.0597,0.0599,-0.02,0.27,0.08,0.09,0.96
17.673523902893066,0.009186983108520508,3,0.0,0.05897469376024366,0.502966153576074,-0.0,0.2885057578349748,0.0,0.0594,0.0596,-0.0,0.28,0.06,0.06,0.96
17.713520765304565,0.009002923965454102,3,0.0,0.058714712040318834,0.5008151532006432,-0.0,0.2869884690561,0.0,0.0596,0.0596,-0.0,0.26,0.04,0.03,0.96
17.753713846206665,0.008975982666015625,3,0.0,0.0586145360818523,0.4996830477398901,0.0,0.2875273730456267,0.0,0.0598,0.0598,0.0,0.27,0.05,0.05,0.96
17.79397487640381,0.009042978286743164,3,0.0,0.05898243651895113,0.49880566600780646,0.0,0.30420120808486417,0.0,0.0601,0.06,0.0,0.26,0.08,0.07,0.96
17.834085941314697,0.00896906852722168,3,0.0,0.059344818449493485,0.49764525791053454,0.0,0.32172219029646,0.0,0.0602,0.0601,0.0,0.25,0.08,0.09,0.96
17.87419605255127,0.008889198303222656,3,0.0,0.05938130059615633,0.49656975772281914,-0.0,0.3270376028005937,0.0,0.0602,0.0602,-0.0,0.24,0.06,0.07,0.97
