Time;delta;angVelref;Realized
4.10427999496;  0.10658772913;  0.2; 0.199533587458
4.1463470459;  0.114512467355;  0.2; 0.198118455632
4.18818807602;  0.122493810853;  0.2; 0.199533587458
4.2299220562;  0.130390246442;  0.2; 0.197410889719
4.27183508873;  0.138230076758;  0.2; 0.195995757893
4.31358003616;  0.14609820971;  0.2; 0.196703323806
4.35528802872;  0.153909737389;  0.2; 0.19528819198
4.3970079422;  0.161806172978;  0.2; 0.197410889719
4.43862605095;  0.169702608567;  0.2; 0.197410889719
4.48040699959;  0.177570741519;  0.2; 0.196703323806
4.52237796783;  0.185382269198;  0.2; 0.19528819198
4.56424403191;  0.19342021797;  0.2; 0.200948719284
4.60604715347;  0.201260048285;  0.2; 0.195995757893
4.64798092842;  0.209213089147;  0.2; 0.198826021545
4.68971896172;  0.217081222099;  0.2; 0.196703323806
4.7315621376;  0.224864447142;  0.2; 0.194580626067
4.77338194847;  0.232874093277;  0.2; 0.200241153371
4.81524205208;  0.240713923593;  0.2; 0.195995757893
4.85711503029;  0.248440543362;  0.2; 0.193165494241
4.89781808853;  0.25650679477;  0.2; 0.201656285197
4.93854594231;  0.263893782902;  0.2; 0.184674703285
4.98027801514;  0.271761915854;  0.2; 0.196703323806
5.02206397057;  0.279856469898;  0.2; 0.20236385111
5.06422495842;  0.287696300214;  0.2; 0.195995757893
5.10596704483;  0.295507827893;  0.2; 0.19528819198
5.14785408974;  0.303460868755;  0.2; 0.198826021545
5.1896841526;  0.31138560698;  0.2; 0.198118455632
5.23157691956;  0.319253739932;  0.2; 0.196703323806
5.2733130455;  0.327178478158;  0.2; 0.198118455632
5.31520009041;  0.335103216383;  0.2; 0.198118455632
5.35701799393;  0.342971349335;  0.2; 0.196703323806
5.39888596535;  0.350839482287;  0.2; 0.196703323806
5.44068193436;  0.35862270733;  0.2; 0.194580626067
5.48249697685;  0.366604050828;  0.2; 0.199533587458
5.52422714233;  0.374443881144;  0.2; 0.195995757893
5.56595802307;  0.382368619369;  0.2; 0.198118455632
5.60782694817;  0.390321660231;  0.2; 0.198826021545
5.64964199066;  0.398189793183;  0.2; 0.196703323806
5.69199109077;  0.406171136682;  -0.2; 0.199533587458
5.73378705978;  0.414039269634;  -0.2; 0.196703323806
5.77548408508;  0.418907323115;  -0.2; 0.121701337031
5.81731104851;  0.411661848166;  -0.2; -0.18113687372
5.85921406746;  0.402916333482;  -0.2; -0.218637867108
5.9010181427;  0.394057608252;  -0.2; -0.22146813076
5.94290709496;  0.38536869884;  -0.2; -0.217222735282
5.98466992378;  0.376651486793;  -0.2; -0.217930301195
6.02647900581;  0.367990880018;  -0.2; -0.216515169369
6.06825709343;  0.359471786426;  -0.2; -0.212977339804
6.11002802849;  0.350839482287;  -0.2; -0.215807603456
6.15187692642;  0.341980757057;  -0.2; -0.22146813076
6.19364500046;  0.333433360828;  -0.2; -0.213684905717
6.23547911644;  0.325027477782;  -0.2; -0.210147076152
6.27723693848;  0.315998936733;  -0.2; -0.225713526238
6.31939601898;  0.307508145777;  -0.2; -0.212269773891
6.36118197441;  0.298677723183;  -0.2; -0.220760564847
6.40301394463;  0.289790695316;  -0.2; -0.222175696673
6.44502496719;  0.281526325453;  -0.2; -0.206609246587
6.48707294464;  0.272724205495;  -0.2; -0.220052998934
6.52885198593;  0.263837177629;  -0.2; -0.222175696673
6.57065415382;  0.255402991946;  -0.2; -0.210854642065
6.61245512962;  0.246600871989;  -0.2; -0.220052998934
6.65427112579;  0.237827054668;  -0.2; -0.219345433021
6.69609713554;  0.229364566349;  -0.2; -0.211562207978
6.73790192604;  0.220619051664;  -0.2; -0.218637867108
6.77977609634;  0.211986747526;  -0.2; -0.215807603456
6.82152795792;  0.203411048661;  -0.2; -0.21439247163
6.86459612846;  0.194382507611;  -0.2; -0.225713526238
6.90694499016;  0.185523782381;  -0.2; -0.22146813076
6.94900202751;  0.176891478243;  -0.2; -0.215807603456
6.99137496948;  0.168117660922;  -0.2; -0.219345433021
7.03337907791;  0.159287238328;  -0.2; -0.220760564847
7.07532596588;  0.150626631553;  -0.2; -0.216515169369
7.1169500351;  0.141654695777;  -0.2; -0.224298394412
7.15885210037;  0.13333372064;  -0.2; -0.208024378413
7.20069909096;  0.124673113865;  -0.2; -0.216515169369
7.24257707596;  0.115899296545;  -0.2; -0.219345433021
7.28437304497;  0.107182084497;  -0.2; -0.217930301195
7.32616901398;  0.0987195961777;  -0.2; -0.211562207978
7.36804103851;  0.0899457788568;  -0.2; -0.219345433021
7.40979504585;  0.0811436588995;  -0.2; -0.220052998934
7.4516890049;  0.0724830521247;  -0.2; -0.216515169369
7.49347805977;  0.063935655896;  -0.2; -0.213684905717
7.53539514542;  0.0552750491213;  -0.2; -0.216515169369
7.57715392113;  0.0463880212544;  -0.2; -0.222175696673
7.6190559864;  0.0378972302987;  -0.2; -0.212269773891
7.66083312035;  0.0293215314335;  -0.2; -0.21439247163
7.70272994041;  0.0204345035666;  -0.2; -0.222175696673
7.74448895454;  0.0117738967918;  -0.2; -0.216515169369
7.78630614281;  0.00325480319967;  -0.2; -0.212977339804
7.82806301117;  -0.00568882994028;  -0.2; -0.223590828499
7.86989712715;  -0.014236226169;  -0.2; -0.213684905717
7.91180109978;  -0.0228402276707;  -0.2; -0.215100037543
7.95358705521;  -0.031642347628;  -0.2; -0.220052998934
7.99535608292;  -0.0401897438567;  -0.2; -0.213684905717
8.03688311577;  -0.0490201664506;  -0.2; -0.220760564847
8.07877111435;  -0.0574826547697;  -0.2; -0.211562207978
8.12037396431;  -0.0662281694541;  -0.2; -0.218637867108
8.16214895248;  -0.0747189604097;  -0.2; -0.212269773891
8.2037730217;  -0.0833229619114;  -0.2; -0.215100037543
8.24543309212;  -0.0920967792323;  -0.2; -0.219345433021
8.28713393211;  -0.100700780734;  -0.2; -0.215100037543
8.32873392105;  -0.109304782236;  -0.2; -0.215100037543
8.36992311478;  -0.11796538901;  -0.2; -0.216515169369
8.41159892082;  -0.126597693149;  -0.2; -0.215807603456
8.45282101631;  -0.135003576195;  -0.2; -0.210147076152
8.49445915222;  -0.14366418297;  -0.2; -0.216515169369
