Time (s),Reference Current (A),Measured Steering Angle (rad)
0.35733795166015625,-0.13989206591428588,0.010019133327664746
0.3605959415435791,-0.11589385149766851,0.009113448959062282
0.36438488960266113,-0.08787646729022637,0.008066251407865686
0.367603063583374,-0.06347945774142899,0.007217172312300876
0.3715059757232666,-0.03703466262213765,0.006226580034141933
0.37594103813171387,-0.0063329460571749235,0.005151079846426508
0.3791840076446533,0.022553191444804842,0.004160487568267564
0.3828909397125244,0.05039653659002886,0.0032831058361839282
0.3859429359436035,0.07449713376943527,0.002547237286694427
0.38965606689453125,0.10205105572182571,0.0018113687372049258
0.3928968906402588,0.126047769496009,0.0012170133703095596
0.3966550827026367,0.15351901695208828,0.0006226580034141933
0.399914026260376,0.1772887127179601,0.00016981581911296178
0.40397191047668457,0.20485148876112969,-0.00019811845563178876
0.40720200538635254,0.2278667522220989,-0.0004245395477824045
